po number,vehicle number,departure time
7007392290,ชม.70-5299,2022-03-01 01:32:44
7007392288,สค.70-6119,2022-03-01 01:42:36
7007384547,ฉช.81-4230,2022-03-01 01:47:44
7007392291,ชม.70-6507,2022-03-01 02:00:52
7007392293,สค.70-4386,2022-03-01 02:06:30
7007392292,ชม.70-5301,2022-03-01 02:18:20
7007392331,สค.70-3937,2022-03-01 02:39:13
7007392350,สค.70-6124,2022-03-01 02:52:36
7007392354,ลพ.70-1223,2022-03-01 03:16:54
7007392358,ชม.70-5300,2022-03-01 03:37:01
7007384406,ฉช.82-8528,2022-03-01 03:43:46
7007384302,ฉช.82-3201,2022-03-01 03:56:34
7007392365,ชม.70-5302,2022-03-01 04:12:43
7007392369,ชม.70-5261,2022-03-01 04:34:40
7007392371,ชม.70-5193,2022-03-01 04:42:18
7007384153,ฉช.82-7170,2022-03-01 05:11:33
7007392373,สค.70-4335,2022-03-01 05:21:24
7007392381,กท.79-8993,2022-03-01 05:29:45
7007392379,ชม.70-6510,2022-03-01 05:31:40
7007384627,กท.79-1830,2022-03-01 05:38:26
7007384283,กท.79-5584,2022-03-01 05:57:14
7007392380,ลพ.70-0785,2022-03-01 05:57:31
7007384124,กท.79-0644,2022-03-01 06:14:46
7007390699,กท.78-6739,2022-03-01 06:17:57
7007384617,กท.78-1149,2022-03-01 07:42:51
7007389550,กท.79-0643,2022-03-01 07:46:32
7007386567,กท.78-6742,2022-03-01 07:57:50
7007386555,กท.79-5843,2022-03-01 08:05:28
7007392442,กท.61-8383,2022-03-01 08:25:26
7007389538,กท.78-7993,2022-03-01 08:36:20
7007384426,กท.77-8133,2022-03-01 08:51:23
7007391507,กท.74-9067,2022-03-01 08:57:30
7007392492,กท.61-7782,2022-03-01 09:11:58
7007389485,กท.77-8134,2022-03-01 09:19:41
7007384522,กท.77-9738,2022-03-01 09:24:07
7007386516,กท.79-5578,2022-03-01 09:30:06
7007384434,กท.79-0841,2022-03-01 09:38:59
7007392575,สค.70-3935,2022-03-01 09:50:44
7007384144,กท.79-0642,2022-03-01 10:00:24
7007392647,กท.79-8107,2022-03-01 10:08:39
7007384301,กท.79-2716,2022-03-01 10:12:21
7007384574,กท.79-0641,2022-03-01 10:40:44
7007384315,กท.79-5579,2022-03-01 10:40:57
7007384565,กท.79-1961,2022-03-01 10:41:00
7007390481,ฉช.82-7443,2022-03-01 10:49:40
7007384363,กท.78-6744,2022-03-01 11:01:50
7007384300,กท.79-2717,2022-03-01 11:05:32
7007392832,กท.79-3258,2022-03-01 11:34:03
7007393167,กท.79-5840,2022-03-01 11:44:09
7007392852,ฉช.81-3257,2022-03-01 11:47:46
7007386534,กท.79-0144,2022-03-01 12:03:52
7007394516,กท.79-3156,2022-03-01 12:05:23
7007395520,กท.61-7783,2022-03-01 12:21:37
7007393176,กท.79-5841,2022-03-01 12:31:53
7007393529,กท.79-3259,2022-03-01 12:35:43
7007394427,ชบ.84-7156,2022-03-01 12:45:13
7007384120,กท.60-4208,2022-03-01 12:52:19
7007384272,ฉช.82-4812,2022-03-01 12:54:32
7007395780,ชม.70-5420,2022-03-01 13:22:00
7007397726,กท.61-6471,2022-03-01 13:26:55
7007394867,กท.75-9797,2022-03-01 13:29:02
7007397298,นม.70-7501,2022-03-01 13:38:43
7007394732,นม.70-6730,2022-03-01 13:49:38
7007386582,กท.79-0841,2022-03-01 14:02:11
7007384279,กท.79-5843,2022-03-01 14:06:27
7007396573,ฉช.82-7170,2022-03-01 14:06:43
7007396153,กท.61-4383,2022-03-01 14:10:16
7007384369,กท.60-4205,2022-03-01 14:23:07
7007396804,ชบ.82-4190,2022-03-01 14:25:39
7007384307,กท.78-1149,2022-03-01 14:36:18
7007384500,กท.77-8134,2022-03-01 14:42:51
7007384311,กท.79-0643,2022-03-01 14:52:21
7007398752,กท.79-8105,2022-03-01 15:00:10
7007384355,กท.79-5579,2022-03-01 15:09:44
7007398357,จบ.80-8222,2022-03-01 15:33:33
7007384319,กท.79-0641,2022-03-01 15:41:32
7007397813,กท.79-3257,2022-03-01 15:51:03
7007384606,กท.78-6742,2022-03-01 16:09:57
7007398489,จบ.80-3645,2022-03-01 16:17:31
7007389499,กท.79-5578,2022-03-01 16:33:49
7007384461,กท.74-9067,2022-03-01 16:34:36
7007398517,กท.75-6899,2022-03-01 16:44:19
7007398824,กท.61-4782,2022-03-01 16:59:59
7007399095,ชม.70-4355,2022-03-01 17:19:38
7007386510,กท.78-7993,2022-03-01 17:22:43
7007399099,ลพ.70-0785,2022-03-01 17:34:05
7007384473,กท.79-2717,2022-03-01 17:49:14
7007399155,กท.61-8383,2022-03-01 17:53:58
7007384552,กท.77-9738,2022-03-01 18:07:39
7007384313,กท.79-1830,2022-03-01 18:21:01
7007386573,กท.78-6742,2022-03-01 18:30:22
7007384360,กท.79-0642,2022-03-01 18:34:01
7007391687,กท.79-1961,2022-03-01 18:49:23
7007384135,กท.78-6739,2022-03-01 18:56:53
7007400587,กท.78-4646,2022-03-01 19:08:22
7007400632,กท.79-8107,2022-03-01 19:13:27
7007399692,กท.79-3258,2022-03-01 19:17:56
7007384324,กท.78-6744,2022-03-01 19:30:10
7007394057,ฉช.82-7443,2022-03-01 19:32:24
7007384139,กท.79-5584,2022-03-01 19:46:52
7007400617,กท.61-7782,2022-03-01 19:50:14
7007386578,กท.79-0644,2022-03-01 20:04:41
7007399951,ชม.70-5421,2022-03-01 20:19:13
7007386530,กท.78-1149,2022-03-01 20:21:29
7007399829,กท.79-1819,2022-03-01 20:26:59
7007384557,กท.79-0641,2022-03-01 20:51:05
7007386562,กท.79-0144,2022-03-01 21:00:39
7007398216,กท.79-0643,2022-03-01 21:05:59
7007400044,สค.70-6125,2022-03-01 21:11:17
7007399979,ชม.70-5123,2022-03-01 21:31:04
7007396253,กท.77-8133,2022-03-01 21:34:37
7007400256,ชม.70-5125,2022-03-01 22:00:26
7007400466,ชม.70-5299,2022-03-01 22:06:48
7007400472,ชม.70-5301,2022-03-01 22:15:16
7007384293,กท.79-5579,2022-03-01 22:24:53
7007396237,กท.77-9738,2022-03-01 22:28:56
7007400590,สค.70-4074,2022-03-01 22:41:14
7007400755,นม.70-6589,2022-03-01 23:13:37
7007399498,กท.79-2717,2022-03-01 23:27:39
7007400742,กท.79-6148,2022-03-01 23:30:45
7007398716,ฉช.81-4230,2022-03-01 23:42:06
7007396934,กท.79-5579,2022-03-02 00:02:23
7007400210,กท.79-1830,2022-03-02 00:06:20
7007396973,กท.79-0144,2022-03-02 00:09:47
7007396745,กท.79-5843,2022-03-02 00:18:13
7007401317,สค.70-4333,2022-03-02 01:31:47
7007401319,สค.70-2917,2022-03-02 01:45:57
7007401322,สค.70-2919,2022-03-02 01:46:41
7007401320,สค.70-2507,2022-03-02 01:57:28
7007401324,ชม.70-5302,2022-03-02 02:09:47
7007401318,สค.70-6119,2022-03-02 02:16:40
7007401328,ชม.70-4355,2022-03-02 02:26:58
7007396901,ฉช.82-8346,2022-03-02 02:47:58
7007401375,ฉช.82-3201,2022-03-02 03:42:47
7007399517,ฉช.82-8528,2022-03-02 03:44:54
7007401376,ชม.70-5261,2022-03-02 03:57:04
7007399512,ฉช.82-7170,2022-03-02 04:08:42
7007396906,ฉช.82-4812,2022-03-02 04:21:02
7007401387,ลพ.70-0785,2022-03-02 04:31:52
7007401405,กท.79-8993,2022-03-02 05:28:19
7007401411,ชม.70-5192,2022-03-02 05:30:23
7007401415,ลพ.70-1223,2022-03-02 05:59:20
7007401449,ตร.80-5209,2022-03-02 07:36:08
7007396593,กท.78-6742,2022-03-02 07:38:17
7007401453,สค.70-4335,2022-03-02 07:49:48
7007396724,กท.79-5584,2022-03-02 08:08:14
7007396948,กท.79-1830,2022-03-02 08:18:20
7007396713,กท.79-0643,2022-03-02 08:24:04
7007396660,กท.79-0642,2022-03-02 08:27:16
7007401474,ชม.70-5194,2022-03-02 08:42:52
7007396576,กท.79-1961,2022-03-02 08:47:46
7007401491,กท.61-7782,2022-03-02 08:55:49
7007401464,สค.70-6123,2022-03-02 09:08:02
7007396911,กท.79-5578,2022-03-02 09:32:06
7007396854,กท.74-9067,2022-03-02 09:34:39
7007396920,กท.79-0641,2022-03-02 09:39:02
7007396984,กท.77-8133,2022-03-02 09:45:00
7007400793,กท.78-1149,2022-03-02 10:03:28
7007400800,กท.78-7993,2022-03-02 10:25:19
7007396929,กท.79-2716,2022-03-02 10:31:24
7007396915,กท.79-0841,2022-03-02 10:37:04
7007401671,กท.79-8107,2022-03-02 10:45:02
7007396841,กท.74-9070,2022-03-02 11:00:00
7007401649,ชม.70-5300,2022-03-02 11:07:05
7007396567,กท.77-9738,2022-03-02 11:10:50
7007396872,กท.77-8134,2022-03-02 11:21:16
7007396883,กท.79-2717,2022-03-02 11:32:58
7007396848,กท.78-6744,2022-03-02 11:46:21
7007396895,กท.60-4208,2022-03-02 11:48:27
7007401746,ชม.70-5122,2022-03-02 11:52:37
7007396684,กท.60-4207,2022-03-02 12:01:06
7007396582,กท.79-0644,2022-03-02 12:07:13
7007396735,ฉช.82-7443,2022-03-02 12:27:43
7007401870,ชบ.83-3599,2022-03-02 12:35:24
7007402340,กท.79-8105,2022-03-02 12:45:01
7007401736,กท.77-6494,2022-03-02 12:49:38
7007401933,ชม.70-5124,2022-03-02 12:56:44
7007402506,กท.61-7783,2022-03-02 13:16:20
7007402510,กท.79-2898,2022-03-02 13:18:53
7007402041,กท.75-2786,2022-03-02 13:29:22
7007402096,ชม.70-5299,2022-03-02 13:35:06
7007402146,ชบ.84-7139,2022-03-02 13:40:17
7007402603,นม.70-5434,2022-03-02 13:46:13
7007402297,กท.79-5840,2022-03-02 13:53:30
7007402394,กท.79-1812,2022-03-02 14:08:07
7007402768,กท.79-3156,2022-03-02 14:12:40
7007396922,กท.79-0641,2022-03-02 14:18:55
7007402397,กท.79-5841,2022-03-02 14:30:13
7007402981,ชบ.71-4792,2022-03-02 14:37:48
