po number,vehicle number,arrival time,start time,grounding time,fill start,end time,departure time,fill amount,average flow rate
7007392288,สค.70-6119,2022-03-01 00:43:23,2022-03-01 00:43:23,4.68,2022-03-01 00:48:03,2022-03-01 01:32:39,2022-03-01 01:32:39,9853.0,220.93
7007392293,สค.70-4386,2022-03-01 01:01:15,2022-03-01 01:01:15,3.5,2022-03-01 01:04:45,2022-03-01 01:50:17,2022-03-01 01:50:17,9807.0,215.37
7007392331,สค.70-3937,2022-03-01 01:30:05,2022-03-01 01:32:39,4.56,2022-03-01 01:37:12,2022-03-01 02:22:29,2022-03-01 02:22:29,9967.0,220.1
7007392350,สค.70-6124,2022-03-01 01:50:11,2022-03-01 01:50:17,4.16,2022-03-01 01:54:26,2022-03-01 02:38:19,2022-03-01 02:38:19,9607.0,218.91
7007392373,สค.70-4335,2022-03-01 04:01:43,2022-03-01 04:01:43,3.92,2022-03-01 04:05:38,2022-03-01 04:51:38,2022-03-01 04:51:38,9983.0,217.03
7007392492,กท.61-7782,2022-03-01 08:07:00,2022-03-01 08:07:00,4.23,2022-03-01 08:11:13,2022-03-01 08:44:13,2022-03-01 08:44:13,7443.0,225.56
7007392575,สค.70-3935,2022-03-01 08:53:21,2022-03-01 08:53:21,4.17,2022-03-01 08:57:31,2022-03-01 09:31:18,2022-03-01 09:31:18,7590.0,224.67
7007392647,กท.79-8107,2022-03-01 08:57:50,2022-03-01 08:57:50,4.29,2022-03-01 09:02:07,2022-03-01 09:47:32,2022-03-01 09:47:32,9940.0,218.86
7007394516,กท.79-3156,2022-03-01 10:56:08,2022-03-01 10:56:08,3.28,2022-03-01 10:59:24,2022-03-01 11:45:12,2022-03-01 11:45:12,9813.0,214.26
7007395520,กท.61-7783,2022-03-01 11:16:00,2022-03-01 11:16:00,4.73,2022-03-01 11:20:43,2022-03-01 12:05:45,2022-03-01 12:05:45,9950.0,220.95
7007384120,กท.60-4208,2022-03-01 11:41:36,2022-03-01 11:45:12,3.83,2022-03-01 11:49:01,2022-03-01 12:26:12,2022-03-01 12:26:12,8200.0,220.53
7007397726,กท.61-6471,2022-03-01 12:19:35,2022-03-01 12:19:35,4.49,2022-03-01 12:24:04,2022-03-01 13:07:57,2022-03-01 13:07:57,9673.0,220.43
7007397298,นม.70-7501,2022-03-01 12:26:15,2022-03-01 12:26:15,3.84,2022-03-01 12:30:05,2022-03-01 13:10:04,2022-03-01 13:10:04,8763.0,219.17
7007384369,กท.60-4205,2022-03-01 12:41:47,2022-03-01 13:07:57,5.67,2022-03-01 13:13:37,2022-03-01 13:55:53,2022-03-01 13:55:53,9587.0,226.81
7007398752,กท.79-8105,2022-03-01 13:58:20,2022-03-01 13:58:20,4.56,2022-03-01 14:02:53,2022-03-01 14:48:17,2022-03-01 14:48:17,9990.0,220.04
7007400587,กท.78-4646,2022-03-01 17:54:10,2022-03-01 17:54:10,4.12,2022-03-01 17:58:17,2022-03-01 18:44:05,2022-03-01 18:44:05,9983.0,217.98
7007400632,กท.79-8107,2022-03-01 18:13:48,2022-03-01 18:13:48,4.62,2022-03-01 18:18:25,2022-03-01 18:49:11,2022-03-01 18:49:11,7077.0,230.01
7007400617,กท.61-7782,2022-03-01 18:42:48,2022-03-01 18:44:05,3.03,2022-03-01 18:47:06,2022-03-01 19:33:44,2022-03-01 19:33:44,9930.0,212.94
7007401317,สค.70-4333,2022-03-02 00:31:41,2022-03-02 00:31:41,3.64,2022-03-02 00:35:19,2022-03-02 01:20:50,2022-03-02 01:20:50,9830.0,215.96
7007401322,สค.70-2919,2022-03-02 00:38:23,2022-03-02 00:38:23,3.7,2022-03-02 00:42:05,2022-03-02 01:27:05,2022-03-02 01:27:05,9740.0,216.44
7007401318,สค.70-6119,2022-03-02 01:11:10,2022-03-02 01:20:50,5.77,2022-03-02 01:26:36,2022-03-02 02:07:32,2022-03-02 02:07:32,9340.0,228.18
7007401453,สค.70-4335,2022-03-02 06:47:07,2022-03-02 06:47:07,5.12,2022-03-02 06:52:14,2022-03-02 07:34:54,2022-03-02 07:34:54,9557.0,223.98
7007401491,กท.61-7782,2022-03-02 08:02:17,2022-03-02 08:02:17,4.89,2022-03-02 08:07:10,2022-03-02 08:48:24,2022-03-02 08:48:24,9223.0,223.69
7007401671,กท.79-8107,2022-03-02 09:31:26,2022-03-02 09:31:26,3.64,2022-03-02 09:35:04,2022-03-02 10:19:07,2022-03-02 10:19:07,9537.0,216.5
7007396684,กท.60-4207,2022-03-02 10:44:59,2022-03-02 10:44:59,3.41,2022-03-02 10:48:23,2022-03-02 11:34:28,2022-03-02 11:34:28,9897.0,214.76
7007396895,กท.60-4208,2022-03-02 10:56:49,2022-03-02 10:56:49,3.96,2022-03-02 11:00:46,2022-03-02 11:35:10,2022-03-02 11:35:10,7670.0,222.97
7007402340,กท.79-8105,2022-03-02 11:08:49,2022-03-02 11:34:28,4.61,2022-03-02 11:39:04,2022-03-02 12:21:35,2022-03-02 12:21:35,9423.0,221.64
7007402506,กท.61-7783,2022-03-02 11:49:52,2022-03-02 11:49:52,5.35,2022-03-02 11:55:12,2022-03-02 12:38:16,2022-03-02 12:38:16,9680.0,224.77
7007402510,กท.79-2898,2022-03-02 12:05:34,2022-03-02 12:21:35,5.15,2022-03-02 12:26:43,2022-03-02 12:58:10,2022-03-02 12:58:10,7317.0,232.64
7007402603,นม.70-5434,2022-03-02 12:14:42,2022-03-02 12:38:16,4.11,2022-03-02 12:42:22,2022-03-02 13:23:44,2022-03-02 13:23:44,9093.0,219.82
7007402768,กท.79-3156,2022-03-02 12:26:56,2022-03-02 12:58:10,3.76,2022-03-02 13:01:55,2022-03-02 13:28:36,2022-03-02 13:28:36,6087.0,228.11
7007402981,ชบ.71-4792,2022-03-02 12:55:27,2022-03-02 13:23:44,4.68,2022-03-02 13:28:24,2022-03-02 14:03:03,2022-03-02 14:03:03,7863.0,226.94
7007396995,กท.75-1033,2022-03-02 12:56:12,2022-03-02 13:28:36,4.31,2022-03-02 13:32:54,2022-03-02 14:18:23,2022-03-02 14:18:23,9957.0,218.91
7007403070,กท.61-6634,2022-03-02 13:26:14,2022-03-02 14:03:03,4.1,2022-03-02 14:07:09,2022-03-02 14:50:21,2022-03-02 14:50:21,9460.0,218.98
7007403150,นม.70-6737,2022-03-02 13:44:32,2022-03-02 14:18:23,4.24,2022-03-02 14:22:37,2022-03-02 15:06:14,2022-03-02 15:06:14,9570.0,219.41
7007403135,นม.70-7144,2022-03-02 13:50:45,2022-03-02 14:50:21,5.64,2022-03-02 14:55:59,2022-03-02 15:39:21,2022-03-02 15:39:21,9800.0,225.98
7007403142,นม.70-6721,2022-03-02 14:52:03,2022-03-02 15:06:14,4.3,2022-03-02 15:10:32,2022-03-02 15:52:53,2022-03-02 15:52:53,9330.0,220.31
7007396729,กท.60-4205,2022-03-02 15:10:28,2022-03-02 15:39:21,3.81,2022-03-02 15:43:09,2022-03-02 16:23:43,2022-03-02 16:23:43,8873.0,218.73
7007404584,กท.61-7782,2022-03-02 17:23:30,2022-03-02 17:23:30,4.18,2022-03-02 17:27:40,2022-03-02 18:13:12,2022-03-02 18:13:12,9940.0,218.3
7007404594,กท.79-8107,2022-03-02 17:37:30,2022-03-02 17:37:30,4.51,2022-03-02 17:42:00,2022-03-02 18:26:18,2022-03-02 18:26:18,9760.0,220.32
7007405706,สค.70-6119,2022-03-03 00:33:15,2022-03-03 00:33:15,5.25,2022-03-03 00:38:29,2022-03-03 01:20:58,2022-03-03 01:20:58,9543.0,224.64
7007405707,สค.70-4333,2022-03-03 00:41:48,2022-03-03 00:41:48,3.37,2022-03-03 00:45:10,2022-03-03 01:26:51,2022-03-03 01:26:51,9010.0,216.15
7007405738,สค.70-6124,2022-03-03 01:36:21,2022-03-03 01:36:21,3.52,2022-03-03 01:39:52,2022-03-03 02:18:57,2022-03-03 02:18:57,8520.0,218.0
